1,bLoreta,Curren,Female,France,26,21/05/2015
2,bTeresa,Strawn,Female,France,46,21/05/2015
3,bBelinda,Partain,Female,United States,37,15/10/2017
4,bHolly,Eudy,Female,United States,52,16/08/2016
5,bMany,Cuccia,Female,Great Britain,46,21/05/2015
6,bLibbie,Dalby,Female,France,42,21/05/2015
7,bLester,Prothro,Male,France,21,15/10/2017
8,bMarvel,Hail,Female,Great Britain,28,16/08/2016
9,bAngelyn,Vong,Female,United States,29,21/05/2015
10,bFrancesca,Beaudreau,Female,France,23,15/10/2017
11,bGarth,Gangi,Male,United States,41,16/08/2016
12,bCarla,Trumbull,Female,Great Britain,28,21/05/2015
13,bVeta,Muntz,Female,Great Britain,37,15/10/2017
